"ID.x";"study";"site";"SiteBlock";"treatment.direction";"treatment.level";"treat.duration.m";"treat.duration.y";"plot.size.m";"delta.P.year";"delta.P1_rescale";"MAP_bioclim";"MAP_rescale";"MAT_bioclim";"MAT_rescale";"LRR_gammaS";"LRR_gammaSPie"
"Miranda_2009b.csv";"Miranda_2009";"Cabo_de_Gata";"Cabo_de_Gata - A";"decr.P";1;"210";0.5;0.08;-44.8;-0.675444372770893;226;-0.371265800110079;18;0.728173299119751;-0.336472236621213;0.156486038740792
"Miranda_2009b.csv";"Miranda_2009";"Cabo_de_Gata";"Cabo_de_Gata - A";"decr.P";3;"210";0.5;0.08;-44.8;-0.675444372770893;226;-0.371265800110079;18;0.728173299119751;0.22314355131421;-0.144544671351186
"Miranda_2009b.csv";"Miranda_2009";"Cabo_de_Gata";"Cabo_de_Gata - A";"decr.P";2;"210";0.5;0.08;-44.8;-0.675444372770893;226;-0.371265800110079;18;0.728173299119751;0;-0.0522248177699048
"Miranda_2009e.csv";"Miranda_2009";"Tabernas_PSA";"Tabernas_PSA - A";"decr.P";1;"210";0.5;0.08;-28;-0.436164586750663;315;-0.249544616111922;16.1;0.637208153169953;-0.773189888233482;0.244965826710406
"Miranda_2009e.csv";"Miranda_2009";"Tabernas_PSA";"Tabernas_PSA - A";"decr.P";2;"210";0.5;0.08;-28;-0.436164586750663;315;-0.249544616111922;16.1;0.637208153169953;0;0.00666818276511361
"Miranda_2009e.csv";"Miranda_2009";"Tabernas_PSA";"Tabernas_PSA - A";"decr.P";3;"210";0.5;0.08;-28;-0.436164586750663;315;-0.249544616111922;16.1;0.637208153169953;-0.305381649551182;0.138534219666427
"Miranda_2009f.csv";"Miranda_2009";"Tabernas_PSA";"Tabernas_PSA - A";"decr.P";1;"210";0.5;0.08;-56;-0.834964230117713;315;-0.249544616111922;16.1;0.637208153169953;-0.367724780125318;0.112246778396714
"Miranda_2009f.csv";"Miranda_2009";"Tabernas_PSA";"Tabernas_PSA - A";"decr.P";2;"210";0.5;0.08;-56;-0.834964230117713;315;-0.249544616111922;16.1;0.637208153169953;-0.435318071257845;0.167247932192866
"Miranda_2009f.csv";"Miranda_2009";"Tabernas_PSA";"Tabernas_PSA - A";"decr.P";3;"210";0.5;0.08;-56;-0.834964230117713;315;-0.249544616111922;16.1;0.637208153169953;-0.54654370636807;0.252252885678048
"Mueller_2016a.csv";"Mueller_2016";"Cheyenne";"Cheyenne - A";"incr.P";1;"2555";7;1.5;30.22670025;0.393149245182913;366;-0.179794274719721;7;0.201532980463027;0.182321556793955;-0.0653301020947907
"Prevey_2014a.csv";"Prevey_2014";"Boulder";"Boulder - A";"incr.P";1;"1095";3;4;25.67647059;0.328341032124121;420;-0.105940972069154;8.3;0.263772290849731;0.167054084663166;-0.128233082211183
"Prevey_2014b.csv";"Prevey_2014";"Boulder";"Boulder - A";"decr.P";2;"1095";3;4;-3.838630807;-0.0920379646996618;420;-0.105940972069154;8.3;0.263772290849731;0.0870113769896297;-0.0371263215945017
"Prevey_2014c.csv";"Prevey_2014";"Boulder";"Boulder - A";"incr.P";3;"1095";3;4;40.41564792;0.538268841507253;420;-0.105940972069154;8.3;0.263772290849731;0.310154928303839;-0.212490632545034
"Prevey_2014d.csv";"Prevey_2014";"Boulder";"Boulder - A";"incr.P";4;"1095";3;4;3.325183374;0.00999512603357449;420;-0.105940972069154;8.3;0.263772290849731;0;-0.0276942222792402
"Wilcox_2015a.csv";"Wilcox_2015";"CPER";"CPER - A";"incr.P";1;"730";2;1;19.64912281;0.242494455512936;377;-0.16475008343905;5;0.105780195252713;0;-0.0025594179888454
"Wilcox_2015a.csv";"Wilcox_2015";"CPER";"CPER - A";"incr.P";2;"730";2;1;19.64912281;0.242494455512936;377;-0.16475008343905;5;0.105780195252713;0;0.0213662547935409
"Wilcox_2015b.csv";"Wilcox_2015";"KPBS";"KPBS - A";"incr.P";1;"730";2;1;14.18562874;0.164678759561008;318;-0.245441654853558;7.2;0.211108258984058;0.191055236762709;-0.0843945361364664
"Wilcox_2015b.csv";"Wilcox_2015";"KPBS";"KPBS - A";"incr.P";2;"730";2;1;14.18562874;0.164678759561008;318;-0.245441654853558;7.2;0.211108258984058;0.233614851181505;-0.0866938398795657
"Wilcox_2015c.csv";"Wilcox_2015";"FK";"FK - A";"incr.P";1;"730";2;1;20.07788162;0.248601200531453;828;0.45206175906846;12.5;0.464853139791389;-0.0425596144187961;0.0220194627699374
"Wilcox_2015c.csv";"Wilcox_2015";"FK";"FK - A";"incr.P";2;"730";2;1;20.07788162;0.248601200531453;828;0.45206175906846;12.5;0.464853139791389;-0.133531392624523;0.0826667429266779
"Yang_2011.csv";"Yang_2011";"Duolun.County";"Duolun.County - A";"incr.P";1;"1460";4;1;31.33;0.408863371855304;390;-0.146970584652802;1.6;-0.0569995396048199;0.22314355131421;-0.0736068691242285
