ID.x;latitude;longitude;study;site;treatment.direction;treat.duration.y;duration_rescale;size.local;size.gamma;N.replicates;delta.P.year;delta.P1_rescale;MAP_chelsa;MAP_rescale;PET_rescale;PET_chelsa;LRR_gammaSn;LRR_gammaSPie;monocarp;polycarp;gr_mono
Wilcox_2015a.csv;41.4;-105.26667;Wilcox_2015;SGP;incr.P;2;-0.349380378;1;10;10;19.64912281;0.255149215;312;-0.242891131;0.277069091;925.271574;-0.010362787;-0.002559418;0;1;P
Wilcox_2015a.csv;41.4;-105.26667;Wilcox_2015;SGP;incr.P;2;-0.349380378;1;10;10;19.64912281;0.255149215;312;-0.242891131;0.277069091;925.271574;0.103709669;0.021366255;0;1;P
Wilcox_2015b.csv;46.51666667;-106.63333;Wilcox_2015;NMP;incr.P;2;-0.349380378;1;10;10;14.18562874;0.176380594;332;-0.217025184;0.35209322;982.0961723;0.186998607;0.082666743;0;1;P
Wilcox_2015b.csv;46.51666667;-106.63333;Wilcox_2015;NMP;incr.P;2;-0.349380378;1;10;10;14.18562874;0.176380594;332;-0.217025184;0.35209322;982.0961723;0.119613453;0.022019463;0;1;P
Wilcox_2015c.csv;39.15;-96.91667;Wilcox_2015;TGP;incr.P;2;-0.349380378;1;10;10;20.07788162;0.261330743;765;0.342972563;0.512281802;1103.425829;0.1198363;-0.084394536;0;1;P
Wilcox_2015c.csv;39.15;-96.91667;Wilcox_2015;TGP;incr.P;2;-0.349380378;1;10;10;20.07788162;0.261330743;765;0.342972563;0.512281802;1103.425829;0.085468657;-0.08669384;0;1;P
Yang_2011.csv;42.03333333;116.28333;Yang_2011;Duolun.County;incr.P;4;-0.224205384;1;6;6;31.33;0.423555472;372;-0.165293291;0.109401163;798.2769284;0.23173549;-0.073606869;0;1;P
Zhong_2019a.csv;42.033333;116.28333;Zhong_2019;Duolun.County;decr.P;3;-0.286792881;1;6;6;-17.01775457;-0.273486731;372;-0.165293291;0.109401163;798.2769284;-0.026971968;0.021078667;NA;NA;NA
Zhong_2019b.csv;42.033333;116.28333;Zhong_2019;Duolun.County;decr.P;3;-0.286792881;1;6;6;-34.03550914;-0.518836142;372;-0.165293291;0.109401163;798.2769284;-0.210373539;0.010928975;NA;NA;NA
Zhong_2019c.csv;42.033333;116.28333;Zhong_2019;Duolun.County;decr.P;3;-0.286792881;1;6;6;-51.05326371;-0.764185553;372;-0.165293291;0.109401163;798.2769284;-0.274589856;0.071370047;NA;NA;NA
Zhong_2019d.csv;42.033333;116.28333;Zhong_2019;Duolun.County;incr.P;3;-0.286792881;1;6;6;17.01775457;0.217212092;372;-0.165293291;0.109401163;798.2769284;0.029224757;0.029186705;NA;NA;NA
Zhong_2019e.csv;42.033333;116.28333;Zhong_2019;Duolun.County;incr.P;3;-0.286792881;1;6;6;34.03550914;0.462561503;372;-0.165293291;0.109401163;798.2769284;-0.017592204;0.008392607;NA;NA;NA
Zhong_2019f.csv;42.033333;116.28333;Zhong_2019;Duolun.County;incr.P;3;-0.286792881;1;6;6;51.05326371;0.707910915;372;-0.165293291;0.109401163;798.2769284;-0.004759081;-0.002149445;NA;NA;NA
