"ID.x";"latitude";"longitude";"study";"site";"SiteBlock";"replicate";"treatment.direction";"treatment.level";"grouping.x";"treat.duration.y";"duration_rescale";"size.local";"size.gamma";"N.replicates";"delta.P.year";"delta.P1_rescale";"MAP_bioclim";"MAP_chelsa";"MAP_rescale";"PET_rescale";"PET_chelsa";"LRR_cum.abs_gamma"
"Holub_2013c.csv";49.5;18.53333333;"Holub_2013";"mountain";"mountain - A";1;"decr.P";"1";"2008_Holub_2013c;mountain;P;decr.P;1;2008;2";2;-0.349380378386437;0.5;"2";4;-50;-0.747839312249394;978;1198;0.902970310356898;-0.0668854560172502;664.7543344;-0.181717509659913
"Holub_2013d.csv";49.5;18.53333333;"Holub_2013";"mountain";"mountain - A";1;"incr.P";"2";"2008_Holub_2013d;mountain;P;incr.P;2;2008;2";2;-0.349380378386437;0.5;"2";4;50;0.693159258380102;978;1198;0.902970310356898;-0.0668854560172502;664.7543344;-0.222388549390841
"Kahmen_2005.csv";50.43861404;11.48197807;"Kahmen_2005";"SG";"SG - A";1;"decr.P";"1";"2003_Kahmen_2005;SG;P;decr.P;1;2003;2";1;-0.411967875334541;2;"38";19;-25;-0.38758966959202;785;913;0.534380569121742;-0.0596089870683798;670.2656603;-0.0239094092488337
"Lauenroth_2014.csv";40.825;-104.75;"Lauenroth_2014";"SGS-LTER.Field.Station";"SGS-LTER.Field.Station - A";1;"incr.P";"1";"2011_Lauenroth_2014;SGS-LTER.Field.Station;P;incr.P;1;2011;2";14;0.401669584990821;0.25;"2.5";10;96;1.35601860086967;366;372;-0.165293290556221;0.482339490113652;1080.746994;1.00205145362587
"Ludewig_2012a.csv";52.78333333;12.18333;"Ludewig_2012";"Kuhlhausen";"Kuhlhausen - A";1;"decr.P";"1";"2012_Ludewig_2012a;Kuhlhausen;P;decr.P;1;2012;2";3;-0.286792881438332;0.25;"1.75";7;14;0.174399772953483;540;537;0.0481007701588697;-0.0247500907455899;696.6684031;0.00219539056343532
"Ludewig_2012b.csv";53.31666667;10.95;"Ludewig_2012";"Sueckau";"Sueckau - A";1;"decr.P";"1";"2012_Ludewig_2012b;Sueckau;P;decr.P;1;2012;2";3;-0.286792881438332;0.25;"1.75";7;14;0.174399772953483;610;629;0.167084125224253;-0.0671408965973792;664.5608592;0
"Miranda_2009a.csv";36.81666667;-2.25;"Miranda_2009";"Cabo_de_Gata";"Cabo_de_Gata - A";1;"decr.P";"1_1";"2006_1_1_Miranda_2009a;Cabo_de_Gata;P;decr.P;1_1;2006;2";0.5;-0.443261623808594;0.08;"0.4";5;-25;-0.38758966959202;226;225;-0.355407999193301;0.308114436246817;948.7858658;-0.20930781946156
"Miranda_2009a.csv";36.81666667;-2.25;"Miranda_2009";"Cabo_de_Gata";"Cabo_de_Gata - A";3;"decr.P";"1_3";"2006_1_3_Miranda_2009a;Cabo_de_Gata;P;decr.P;1_3;2006;2";0.5;-0.443261623808594;0.08;"0.4";5;-25;-0.38758966959202;226;225;-0.355407999193301;0.308114436246817;948.7858658;0.207639364778244
"Miranda_2009a.csv";36.81666667;-2.25;"Miranda_2009";"Cabo_de_Gata";"Cabo_de_Gata - A";1;"decr.P";"1_2";"2006_1_2_Miranda_2009a;Cabo_de_Gata;P;decr.P;1_2;2006;2";0.5;-0.443261623808594;0.08;"0.4";5;-25;-0.38758966959202;226;225;-0.355407999193301;0.308114436246817;948.7858658;0.447137804508732
"Miranda_2009b.csv";36.81666667;-2.25;"Miranda_2009";"Cabo_de_Gata";"Cabo_de_Gata - A";1;"decr.P";"2_1";"2006_2_1_Miranda_2009b;Cabo_de_Gata;P;decr.P;2_1;2006;2";0.5;-0.443261623808594;0.08;"0.4";5;-50;-0.747839312249394;226;225;-0.355407999193301;0.308114436246817;948.7858658;-0.509794164159328
"Miranda_2009b.csv";36.81666667;-2.25;"Miranda_2009";"Cabo_de_Gata";"Cabo_de_Gata - A";3;"decr.P";"2_3";"2006_2_3_Miranda_2009b;Cabo_de_Gata;P;decr.P;2_3;2006;2";0.5;-0.443261623808594;0.08;"0.4";5;-50;-0.747839312249394;226;225;-0.355407999193301;0.308114436246817;948.7858658;-0.0940289496482762
