"ID.x";"latitude";"longitude";"study";"site";"SiteBlock";"replicate";"treatment.direction";"treatment.level";"grouping.x";"treat.duration.y";"duration_rescale";"size.local";"size.gamma";"N.replicates";"delta.P.year";"delta.P1_rescale";"MAP_chelsa";"MAP_rescale";"PET_rescale";"PET_chelsa";"LRR_cum.abs"
"Eskelinen_2015a.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Harshserp";"Harshserp - A";1;"incr.P";"1";"2014_Eskelinen_2015a;Harshserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.0716919284561164
"Eskelinen_2015a.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Harshserp";"Harshserp - A";2;"incr.P";"1";"2014_Eskelinen_2015a;Harshserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;-0.574608572521563
"Eskelinen_2015a.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Harshserp";"Harshserp - A";3;"incr.P";"1";"2014_Eskelinen_2015a;Harshserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.438638881790163
"Eskelinen_2015a.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Harshserp";"Harshserp - B";1;"incr.P";"1";"2014_Eskelinen_2015a;Harshserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;-0.794929874869887
"Eskelinen_2015a.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Harshserp";"Harshserp - B";2;"incr.P";"1";"2014_Eskelinen_2015a;Harshserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;-0.132712279950738
"Eskelinen_2015a.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Harshserp";"Harshserp - C";1;"incr.P";"1";"2014_Eskelinen_2015a;Harshserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.589368943713249
"Eskelinen_2015a.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Harshserp";"Harshserp - C";2;"incr.P";"1";"2014_Eskelinen_2015a;Harshserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.336472236621213
"Eskelinen_2015a.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Harshserp";"Harshserp - C";3;"incr.P";"1";"2014_Eskelinen_2015a;Harshserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;-0.0959639882617438
"Eskelinen_2015a.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Harshserp";"Harshserp - D";1;"incr.P";"1";"2014_Eskelinen_2015a;Harshserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.433339644874144
"Eskelinen_2015a.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Harshserp";"Harshserp - D";2;"incr.P";"1";"2014_Eskelinen_2015a;Harshserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.183004383723866
